<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.05.15	16:00:00	1.08612	1.08746	1.08316	1.08720	20013	0	2
2024.05.15	20:00:00	1.08721	1.08860	1.08716	1.08840	6173	0	2
2024.05.16	00:00:00	1.08849	1.08951	1.08780	1.08937	4532	0	2
2024.05.16	04:00:00	1.08938	1.08939	1.08813	1.08846	5907	0	2
2024.05.16	08:00:00	1.08847	1.08850	1.08663	1.08733	9198	0	2
2024.05.16	12:00:00	1.08734	1.08749	1.08606	1.08632	10519	0	2
2024.05.16	16:00:00	1.08629	1.08758	1.08543	1.08733	12794	0	2
2024.05.16	20:00:00	1.08733	1.08755	1.08647	1.08670	4962	0	2
2024.05.17	00:00:00	1.08639	1.08692	1.08598	1.08628	3293	0	2
2024.05.17	04:00:00	1.08629	1.08636	1.08543	1.08561	4053	0	2
2024.05.17	08:00:00	1.08562	1.08683	1.08416	1.08443	8410	0	2
2024.05.17	12:00:00	1.08442	1.08467	1.08356	1.08429	7817	0	2
2024.05.17	16:00:00	1.08430	1.08784	1.08430	1.08686	12120	0	2
2024.05.17	20:00:00	1.08685	1.08767	1.08682	1.08702	4526	0	2
2024.05.20	00:00:00	1.08655	1.08772	1.08623	1.08750	2683	0	2
2024.05.20	04:00:00	1.08751	1.08823	1.08715	1.08808	4362	0	2
2024.05.20	08:00:00	1.08807	1.08845	1.08692	1.08745	7608	0	2
2024.05.20	12:00:00	1.08746	1.08750	1.08543	1.08575	8859	0	2
2024.05.20	16:00:00	1.08574	1.08698	1.08574	1.08658	10266	0	2
2024.05.20	20:00:00	1.08657	1.08706	1.08568	1.08573	4361	0	2
2024.05.21	00:00:00	1.08561	1.08619	1.08559	1.08614	2598	0	2
2024.05.21	04:00:00	1.08613	1.08615	1.08509	1.08587	4934	0	2
2024.05.21	08:00:00	1.08589	1.08695	1.08565	1.08667	8893	0	2
2024.05.21	12:00:00	1.08666	1.08747	1.08547	1.08571	9789	0	2
2024.05.21	16:00:00	1.08569	1.08617	1.08426	1.08538	17021	0	2
2024.05.21	20:00:00	1.08538	1.08565	1.08463	1.08541	4709	0	2
2024.05.22	00:00:00	1.08546	1.08598	1.08528	1.08575	3040	0	2
2024.05.22	04:00:00	1.08574	1.08635	1.08527	1.08535	4797	0	2
2024.05.22	08:00:00	1.08534	1.08635	1.08462	1.08486	9624	0	2
2024.05.22	12:00:00	1.08485	1.08498	1.08218	1.08319	11186	0	2
2024.05.22	16:00:00	1.08319	1.08443	1.08316	1.08424	13474	0	2
2024.05.22	20:00:00	1.08423	1.08470	1.08174	1.08219	9896	0	2
2024.05.23	00:00:00	1.08220	1.08288	1.08213	1.08255	3092	0	2
2024.05.23	04:00:00	1.08254	1.08323	1.08219	1.08266	4695	0	2
2024.05.23	08:00:00	1.08265	1.08448	1.08124	1.08386	12306	0	2
2024.05.23	12:00:00	1.08387	1.08543	1.08336	1.08523	11532	0	2
2024.05.23	16:00:00	1.08524	1.08609	1.08179	1.08183	20749	0	2
2024.05.23	20:00:00	1.08184	1.08201	1.08047	1.08143	8824	0	2
2024.05.24	00:00:00	1.08125	1.08150	1.08074	1.08101	3834	0	2
2024.05.24	04:00:00	1.08101	1.08138	1.08054	1.08092	4694	0	2
2024.05.24	08:00:00	1.08091	1.08283	1.08075	1.08247	8676	0	2
2024.05.24	12:00:00	1.08246	1.08537	1.08235	1.08512	9963	0	2
2024.05.24	16:00:00	1.08512	1.08578	1.08415	1.08471	13199	0	2
2024.05.24	20:00:00	1.08470	1.08533	1.08458	1.08461	5148	0	2
2024.05.27	00:00:00	1.08458	1.08514	1.08416	1.08486	2714	0	2
2024.05.27	04:00:00	1.08486	1.08521	1.08472	1.08484	3346	0	2
2024.05.27	08:00:00	1.08484	1.08535	1.08442	1.08493	5789	0	2
2024.05.27	12:00:00	1.08494	1.08674	1.08407	1.08490	8453	0	2
2024.05.27	16:00:00	1.08490	1.08619	1.08444	1.08598	7457	0	2
2024.05.27	20:00:00	1.08598	1.08608	1.08571	1.08591	1322	0	2
2024.05.28	00:00:00	1.08573	1.08683	1.08523	1.08650	4461	0	2
2024.05.28	04:00:00	1.08650	1.08800	1.08642	1.08761	5811	0	2
2024.05.28	08:00:00	1.08760	1.08800	1.08670	1.08700	8373	0	2
2024.05.28	12:00:00	1.08699	1.08890	1.08671	1.08765	9510	0	2
2024.05.28	16:00:00	1.08764	1.08802	1.08578	1.08747	14469	0	2
2024.05.28	20:00:00	1.08746	1.08757	1.08550	1.08563	8013	0	2
2024.05.29	00:00:00	1.08560	1.08597	1.08476	1.08512	3798	0	2
2024.05.29	04:00:00	1.08511	1.08570	1.08439	1.08477	4528	0	2
2024.05.29	08:00:00	1.08478	1.08587	1.08291	1.08372	10944	0	2
2024.05.29	12:00:00	1.08371	1.08584	1.08353	1.08461	11680	0	2
2024.05.29	16:00:00	1.08462	1.08468	1.08074	1.08153	17556	0	2
2024.05.29	20:00:00	1.08153	1.08159	1.07999	1.08008	8013	0	2
2024.05.30	00:00:00	1.08017	1.08040	1.07953	1.07964	3336	0	2
2024.05.30	04:00:00	1.07964	1.08045	1.07920	1.07959	5946	0	2
2024.05.30	08:00:00	1.07958	1.08185	1.07882	1.08150	12343	0	2
2024.05.30	12:00:00	1.08149	1.08327	1.08084	1.08290	13402	0	2
2024.05.30	16:00:00	1.08290	1.08451	1.08253	1.08399	16863	0	2
2024.05.30	20:00:00	1.08399	1.08432	1.08268	1.08323	6680	0	2
2024.05.31	00:00:00	1.08288	1.08340	1.08288	1.08321	4048	0	2
2024.05.31	04:00:00	1.08320	1.08335	1.08111	1.08183	6844	0	2
2024.05.31	08:00:00	1.08182	1.08384	1.08145	1.08340	10655	0	2
2024.05.31	12:00:00	1.08341	1.08823	1.08335	1.08801	14920	0	2
