datetime,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,ema_50,ema_100,ema_200,rsi,macd,macd_signal,macd_diff,bb_upper,bb_lower,bb_mid,bb_bandwidth,stoch_k,stoch_d,atr
2025-01-30 20:00:00,1.04171,1.04322,1.0386,1.03918,10560,1.0414138851049948,1.039456041460172,1.0413903893051915,43.10107704654269,-0.0005441110780957104,-0.00019108004567876683,-0.00035303103241694355,1.0480495185502827,1.0378204814497176,1.0429350000000002,0.9807933476741223,11.228070175439361,48.97198609352827,0.00340469414247102
2025-01-31 00:00:00,1.03933,1.04023,1.03772,1.03885,6077,1.0413133405910735,1.0394440406391783,1.0413651117996672,42.53831862580775,-0.0007625607164560844,-0.00030537617983423035,-0.000457184536621854,1.0470650793559597,1.0378029206440404,1.042434,0.8885127223324706,12.486187845304697,21.433017780794035,0.003340787418008805
2025-01-31 04:00:00,1.03886,1.0395,1.03828,1.03887,5995,1.041217523312992,1.0394326734978083,1.041340284816586,42.58724499700585,-0.0009234251258101178,-0.0004289859690294079,-0.0004944391567807099,1.0456713231488304,1.0381736768511698,1.0419225,0.7195973114757179,12.707182320441813,12.140480113728595,0.0031893026024367474
2025-01-31 08:00:00,1.03887,1.04128,1.03652,1.03836,13752,1.0411054635752277,1.0394114324384458,1.0413106302412967,41.614204014896714,-0.0010796188923887229,-0.0005591125537012709,-0.000520506338687452,1.04560378744383,1.03770021255617,1.041652,0.7587538724698761,17.951219512193806,14.381529892646745,0.0033014952736912565
2025-01-31 12:00:00,1.03836,1.03954,1.0372,1.03822,14133,1.0409923081409052,1.0393878397168923,1.0412798777015824,41.335006122739934,-0.0012008576679998217,-0.0006874615765609811,-0.0005133960914388406,1.0454905201667857,1.037271479833214,1.041381,0.7892443143836473,16.58536585365692,15.747922562097486,0.0032328170398561672
2025-01-31 16:00:00,1.03824,1.04338,1.03602,1.04199,20750,1.04103143331185,1.0394393676432905,1.041286943595099,50.89014848765412,-0.0009814195842992035,-0.0007462531781086256,-0.0002351664061905779,1.0453090854138267,1.0373009145861731,1.041305,0.7690514141057225,55.534883720930324,30.023823028926987,0.003527615822723586
2025-01-31 20:00:00,1.04199,1.04217,1.03499,1.03584,19735,1.0408278476917774,1.0393680930364926,1.0412327451513668,39.568165521765266,-0.0012889091815786458,-0.0008547843788026297,-0.00043412480277601605,1.0455846764466228,1.0363593235533772,1.040972,0.8862248834018162,7.215619694397492,26.44528975632822,0.0037885004068147557
2025-02-03 00:00:00,1.02411,1.02704,1.02107,1.02378,18764,1.040159304645041,1.039059417926859,1.041059085995632,26.920135336714694,-0.0024771826930476415,-0.0011792640416516322,-0.0012979186513960093,1.0487458871418716,1.0312971128581288,1.0400215000000002,1.677732074167967,10.544747081712002,24.43175016567991,0.004572893234899428
2025-02-03 04:00:00,1.02377,1.02432,1.02121,1.02404,13771,1.039527175051118,1.0387620037104857,1.0408897418563718,27.458497153195495,-0.003359195470488574,-0.0016152503274190206,-0.0017439451430695534,1.0501061876259037,1.0280368123740962,1.0390715,2.123951552112393,11.556420233463552,9.772262336524319,0.004468400860978036
2025-02-03 08:00:00,1.02404,1.02543,1.02128,1.02302,17671,1.0388798348530348,1.0384502808647333,1.0407119334796915,26.629688810578955,-0.004093317213834213,-0.0021108637047020594,-0.001982453509132154,1.0510009368126567,1.0251730631873432,1.038087,2.4880259193413914,7.5875486381327395,9.896238651102735,0.004445657942336755
2025-02-03 12:00:00,1.02305,1.0288,1.023,1.02639,16163,1.0383900374078179,1.0382114634218673,1.0405694266788985,33.745244443116206,-0.004353004423420126,-0.002559291848445673,-0.0017937125749744529,1.050768118373048,1.023641881626952,1.037205,2.6153206691151745,20.70038910505829,13.281452658884831,0.004542396660741274
2025-02-03 16:00:00,1.02638,1.03356,1.02424,1.02795,30152,1.0379806241761387,1.0380082661263847,1.0404438602442827,36.800727751724416,-0.004382411730948554,-0.0029239158249462494,-0.001458495906002305,1.0506390053718,1.0225289946282,1.036584,2.7117928449214044,26.770428015564132,18.35278858625169,0.004883654042116896
2025-02-03 20:00:00,1.02791,1.03499,1.02704,1.03345,13050,1.0378029526398196,1.0379180034308129,1.040374269595086,46.21795306794456,-0.003916763191480044,-0.0031224852982530086,-0.0007942778932270352,1.0504021773885053,1.0222378226114945,1.03632,2.7177276108741255,48.171206225681054,31.880674448767802,0.00510267875339427
2025-02-04 00:00:00,1.03343,1.03506,1.03085,1.0322,8445,1.0375832290068856,1.0378047756401036,1.0402929335792146,44.59166823674794,-0.003607018458945177,-0.0032193919303914425,-0.0003876265285537345,1.0497520485352883,1.021895951464712,1.035824,2.689269322836345,49.88794262662509,41.60985895595673,0.005038915985294682
2025-02-04 04:00:00,1.0322,1.0324,1.02721,1.0293,10630,1.0372583964968116,1.0376363642412898,1.0401835511555408,40.98822501080936,-0.003554574369819985,-0.0032864284182771513,-0.0002681459515428337,1.0490729821454656,1.0212930178545343,1.035183,2.68358003279916,36.88928731510606,44.98281205580404,0.005049707700630778
2025-02-04 08:00:00,1.0293,1.03494,1.02922,1.03386,14737,1.0371251260459562,1.0375615847513633,1.0401206302485206,48.0914330029487,-0.003109217042216894,-0.0032509861430651,0.000141769100848206,1.0483173142665558,1.0212356857334441,1.0347765,2.6171476191343435,57.32855221873621,48.03526072015577,0.00509758572201429
2025-02-04 12:00:00,1.03384,1.03434,1.03202,1.03402,12072,1.0370033563970953,1.0374914543602471,1.0400599274599782,48.326463307955656,-0.0027120941554370503,-0.0031432077455394902,0.0004311135901024399,1.0474755788764123,1.0212604211235876,1.034368,2.5344130669959513,58.04571940833701,50.75451964739307,0.00489918674187042
2025-02-04 16:00:00,1.03404,1.03874,1.034,1.03765,19632,1.0370287149697583,1.037494593877866,1.040035948082267,53.47349220430215,-0.0020804782851058246,-0.0029306618534527575,0.0008501835683469329,1.0470862608146254,1.0213397391853742,1.0342129999999998,2.4894795974573105,74.31645002241147,63.2302405498282,0.004887816260308244
2025-02-04 20:00:00,1.03765,1.03874,1.03743,1.038,7729,1.0370668045787874,1.0375046019198884,1.0400156898923938,53.94977650277177,-0.0015339931640760973,-0.0026513281155774258,0.0011173349515013285,1.045752679693741,1.021913320306259,1.033833,2.305919755655136,75.88525324966415,69.41580756013752,0.004632257956000507
2025-02-05 00:00:00,1.03744,1.03866,1.03694,1.03732,6583,1.0370767338109919,1.0375009464363263,1.039988867107395,52.81847792322698,-0.0011425989163853512,-0.002349582275739011,0.0012069833593536597,1.045102456258682,1.0221265437413183,1.0336145,2.2228705689948853,77.0142180094787,75.73864042718475,0.004424239530571895
2025-02-05 04:00:00,1.03732,1.03861,1.03729,1.03777,6589,1.0371039207203647,1.0375062742296663,1.0399667888277193,53.513191218243726,-0.0007870324953582752,-0.002037072319662864,0.0012500398243045887,1.0449111428248872,1.0221768571751124,1.0335439999999998,2.1996437161625204,94.51046972269434,82.46998032727903,0.0042025081355310445
2025-02-05 08:00:00,1.03777,1.04175,1.03741,1.04038,14441,1.0372323944176054,1.037563179690465,1.0399709003816724,57.42849400860611,-0.00029128065557504357,-0.0016879139868453,0.0013966333312702564,1.0451488988047513,1.0220921011952488,1.0336205,2.2306830804441677,93.33008763388573,88.28492512201956,0.0042123289829931135
2025-02-05 12:00:00,1.04038,1.04304,1.04014,1.04077,13611,1.0373711240482875,1.037626681082733,1.0399788516216557,57.997762089835035,0.00013155945429010885,-0.0013240192986182183,0.0014555787529083272,1.0454449287585281,1.021986071241472,1.0337155,2.269372715902609,89.56801470588238,92.4695240208208,0.004118591198493599
2025-02-05 16:00:00,1.04077,1.04422,1.04061,1.04198,16280,1.0375518642816879,1.0377128854177284,1.0399987635458183,59.79411987278651,0.0005578694041354915,-0.0009476415580674764,0.0015055109622029677,1.0460123809420274,1.0217806190579726,1.0338965,2.3437318807109655,89.44392082940614,90.78067438972472,0.004082263255744048
2025-02-05 20:00:00,1.04197,1.04216,1.03967,1.03988,6234,1.0376431637216217,1.0377557985777734,1.0399975818189944,55.36823892610432,0.0007179940724859613,-0.000614514431956789,0.0013325085044427502,1.0462346596889383,1.0217243403110614,1.0339794999999998,2.370484074188787,78.27827827827811,85.76340460452218,0.003968530166048036
2025-02-06 00:00:00,1.04037,1.04055,1.03949,1.04027,5305,1.037746176909009,1.0378055847445502,1.0400002924476612,56.019317213998924,0.0008663767149541535,-0.0003183362025746005,0.001184712917528754,1.04594504807489,1.02184195192511,1.0338935,2.331293905008582,77.00814901047785,81.576782706054,0.0037607780113303236
2025-02-06 04:00:00,1.04023,1.04055,1.03851,1.03864,6303,1.0377812287949304,1.0378221078189156,1.039986757199426,52.567750568547694,0.0008427291930708236,-8.612312344551567e-05,0.0009288523165163393,1.0462363476595171,1.021830652340483,1.0340335,2.3602422280355655,67.19576719576762,74.16073149484116,0.0036378652962353038
2025-02-06 08:00:00,1.03865,1.03925,1.03561,1.03593,9794,1.037708631587286,1.037784640337353,1.039946391456148,47.34478707937551,0.0005984158446659116,5.078467017676978e-05,0.0005476311744891418,1.0459160058093717,1.0233659941906281,1.034641,2.1795010654655664,51.26396237507394,65.15595952710645,0.0036380177750756455
2025-02-06 12:00:00,1.03593,1.03677,1.03525,1.03603,12044,1.0376428028975886,1.037749894984138,1.0399074223869327,47.551869390076135,0.000408159906802652,0.00012225971750194623,0.0002859001893007058,1.045418799415981,1.025062200584019,1.0352405,1.96636422473443,45.40000000000018,54.619909856947224,0.0034867307911416686
2025-02-06 16:00:00,1.03607,1.03806,1.03598,1.03794,12174,1.0376544576859186,1.0377536594398975,1.0398878460447742,51.477110465894,0.00040681226423977535,0.00017917022684951206,0.0002276420373902633,1.0445282241234626,1.0274447758765373,1.0359865,1.6490029789891387,48.52459016393568,48.39618417966991,0.003386250020345841
2025-02-06 20:00:00,1.03793,1.03968,1.03743,1.03844,6472,1.037685263266863,1.0377672503420778,1.0398734396164682,52.47973085856696,0.00044100642161359893,0.00023153746580232944,0.0002094689558112695,1.0439574731119365,1.0292205268880634,1.036589,1.421676886777027,43.44422700587128,45.78960572326903,0.0033050893046068426
2025-02-07 00:00:00,1.03838,1.0391,1.03744,1.03839,4932,1.0377129000014957,1.0377795820184723,1.0398586790232696,52.36321076350993,0.0004587823976573979,0.00027698645217334316,0.00018179594548405477,1.0433501278237685,1.0308718721762313,1.037111,1.2031745538845051,35.005574136008335,42.32479710193841,0.0031875829257063536
2025-02-07 04:00:00,1.03839,1.03861,1.0374,1.03752,5760,1.0377053352955548,1.0377744417804828,1.039835408585227,50.271669343217894,0.00039807944558156727,0.000301205050854988,9.687439472657927e-05,1.043323987415855,1.0313050125841452,1.0373145000000001,1.1586625687493892,25.306577480490677,34.58545954079007,0.0030463270024416096
